tag,size,time
parallel,10,3
non-parallel,10,0
java-arrays,10,1
parallel,10,8
non-parallel,10,0
java-arrays,10,0
parallel,10,7
non-parallel,10,0
java-arrays,10,0
parallel,10,9
non-parallel,10,0
java-arrays,10,0
parallel,10,4
non-parallel,10,0
java-arrays,10,0
parallel,10,4
non-parallel,10,0
java-arrays,10,0
parallel,10,2
non-parallel,10,0
java-arrays,10,0
parallel,10,30
non-parallel,10,0
java-arrays,10,0
parallel,10,2
non-parallel,10,0
java-arrays,10,0
parallel,10,13
non-parallel,10,0
java-arrays,10,0
parallel,100,13
non-parallel,100,0
java-arrays,100,1
parallel,100,11
non-parallel,100,1
java-arrays,100,0
parallel,100,8
non-parallel,100,1
java-arrays,100,0
parallel,100,7
non-parallel,100,1
java-arrays,100,0
parallel,100,10
non-parallel,100,0
java-arrays,100,0
parallel,100,11
non-parallel,100,1
java-arrays,100,0
parallel,100,8
non-parallel,100,0
java-arrays,100,0
parallel,100,7
non-parallel,100,1
java-arrays,100,0
parallel,100,4
non-parallel,100,1
java-arrays,100,0
parallel,100,6
non-parallel,100,1
java-arrays,100,0
parallel,1000,38
non-parallel,1000,11
java-arrays,1000,1
parallel,1000,34
non-parallel,1000,7
java-arrays,1000,1
parallel,1000,38
non-parallel,1000,8
java-arrays,1000,0
parallel,1000,30
non-parallel,1000,5
java-arrays,1000,0
parallel,1000,25
non-parallel,1000,7
java-arrays,1000,0
parallel,1000,22
non-parallel,1000,8
java-arrays,1000,0
parallel,1000,21
non-parallel,1000,6
java-arrays,1000,1
parallel,1000,21
non-parallel,1000,8
java-arrays,1000,1
parallel,1000,26
non-parallel,1000,5
java-arrays,1000,1
parallel,1000,29
non-parallel,1000,5
java-arrays,1000,1
parallel,10000,348
non-parallel,10000,153
java-arrays,10000,1
parallel,10000,319
non-parallel,10000,118
java-arrays,10000,2
parallel,10000,243
non-parallel,10000,102
java-arrays,10000,2
parallel,10000,239
non-parallel,10000,103
java-arrays,10000,1
parallel,10000,238
non-parallel,10000,111
java-arrays,10000,1
parallel,10000,257
non-parallel,10000,104
java-arrays,10000,0
parallel,10000,239
non-parallel,10000,148
java-arrays,10000,2
parallel,10000,374
non-parallel,10000,94
java-arrays,10000,1
parallel,10000,249
non-parallel,10000,112
java-arrays,10000,0
parallel,10000,277
non-parallel,10000,105
java-arrays,10000,0
parallel,100000,11444
non-parallel,100000,9825
java-arrays,100000,8
parallel,100000,11733
non-parallel,100000,9768
java-arrays,100000,9
parallel,100000,11633
non-parallel,100000,9952
java-arrays,100000,9
parallel,100000,10985
non-parallel,100000,9747
java-arrays,100000,8
parallel,100000,11657
non-parallel,100000,10236
java-arrays,100000,8
parallel,100000,10665
non-parallel,100000,9846
java-arrays,100000,8
parallel,100000,11798
non-parallel,100000,9796
java-arrays,100000,8
parallel,100000,11232
non-parallel,100000,10171
java-arrays,100000,8
parallel,100000,11480
non-parallel,100000,9825
java-arrays,100000,7
parallel,100000,8972
non-parallel,100000,9852
java-arrays,100000,8
